domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.nieuwsblad.be,0.0518072141683775,0.17452119896660268,0.3779251754175,0.19431099705691512,171.0
www.nrc.nl,0.06949067615480263,0.16551303403785728,0.43816323427777015,0.19372912964416747,157.0
www.vrt.be,0.04792177784737308,0.14749636267052665,0.40285563405526775,0.20034890694094762,78.0
newsmonkey.be,0.06949665032080286,0.1448883932299023,0.4487368652220347,0.13458410964915807,59.0
www.tvl.be,0.05326287339874296,0.1520263469588948,0.3874036577351795,0.1642426856354198,46.0
jeugdjournaal.nl,0.19189542095384485,0.21111412324849735,0.46626891717380853,0.15726823744328752,46.0
businessam.be,0.05374757313393677,0.1215490810588876,0.563071756526302,0.16241490366614447,22.0
www.hbvl.be,0.17722909902597403,0.20765052411006316,0.3855739312770563,0.22168038513408295,16.0
www.emerce.nl,0.09036315536315537,0.18165307367532765,0.42946248196248193,0.27653812006274103,12.0
pal.be,-0.013744143662974833,0.1804527901915844,0.3785281619534866,0.1737146048098894,11.0
www.gva.be,0.024227392977392976,0.09410020472168253,0.3287758537758538,0.20194939675578905,6.0
androidworld.nl,0.2449111652236652,0.279120482225689,0.4586093073593074,0.09276746892270153,6.0
www.standaard.be,0.011707551707551727,0.2300020484702983,0.45398989898989894,0.22846575199961883,5.0
www.telegraaf.nl,0.14500000000000002,0.10368220676663861,0.461,0.08974965180990957,5.0
nos.nl,0.22665945165945167,0.18823188129913054,0.5096320346320345,0.2082155736222797,3.0
www.iculture.nl,0.20500000000000002,0.07778174593052024,0.3076923076923077,0.010878565864408444,2.0
www.pelletkachels.nl,0.267797619047619,0.04200550997762945,0.41140306122448983,0.13590159411886354,2.0
www.rtl.nl,0.38055555555555565,0.06285393610547088,0.49236111111111114,0.18168715905487684,2.0
www.frankwatching.com,0.0,1.0,0.0,1.0,1.0
omny.fm,0.0,1.0,0.0,1.0,1.0
www.marketingfacts.nl,0.0,1.0,0.0,1.0,1.0
marketingreport.nl,0.0,1.0,0.0,1.0,1.0
www.protothema.gr,0.0,1.0,0.0,1.0,1.0
consent.yahoo.com,0.0,1.0,0.0,1.0,1.0
