,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Netherlands,Netherlands,GPE,0.05046698,0.46200700,en,19.90000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
US,US,GPE,0.11632673,0.48544917,en,15.60000000,,0,,,,,,
Alps,Alps,GPE,0.05277778,0.24529630,en,15.00000000,,0,,,,,,
Spain,Spain,GPE,-0.09285312,0.38574646,en,14.80000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Portugal,Portugal,GPE,-0.13364122,0.39113300,en,14.50000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
the United States,the United States,GPE,-0.01943511,0.61007044,en,14.10000000,,0,,,,,,
California,California,GPE,-0.09942857,0.37358730,en,12.50000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Indonesia,Indonesia,GPE,-0.14328553,0.61746934,en,8.80000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Belgium,Belgium,GPE,0.05571520,0.44907407,en,8.70000000,4005406-8,2802361,A,50.75000000,4.50000000,EUROPE,Belgium,WCE
Limburg,Limburg,GPE,0.17540161,0.48403614,en,8.30000000,4036784-8,2751283,P,50.84833000,5.68889000,EUROPE,The Netherlands,WCE
Greece,Greece,GPE,-0.34417808,0.42066210,en,7.30000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Brussels,Brussels,GPE,0.04528158,0.33085997,en,7.30000000,4008460-7,2800866,P,50.85045000,4.34878000,EUROPE,Belgium,WCE
New York,New York,GPE,0.14565949,0.51804641,en,6.90000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Austria,Austria,GPE,-0.18840580,0.31884058,en,6.90000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Italy,Italy,GPE,-0.09440104,0.19401042,en,6.40000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
France,France,GPE,-0.12636612,0.29918033,en,6.10000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Sicily,Sicily,GPE,-0.10530303,0.54015152,en,5.50000000,4055193-3,2523118,T,37.62304000,13.93457000,EUROPE-AFRICA,Italy,MED
Morocco,Morocco,GPE,0.04204545,0.47272727,en,5.50000000,4037680-1,2542007,A,28.50000000,-10.00000000,AFRICA,Morocco,SAH
New Zealand,New Zealand,GPE,0.09152893,0.43464187,en,5.50000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
South Africa,South Africa,GPE,-0.02083333,0.60648148,en,5.40000000,4078012-0,953987,A,-29.00000000,24.00000000,AFRICA,South Africa,WSAF
Europe,Europe,LOC,-0.02496753,0.24290584,en,5.00000000,,0,,,,,,
Victoria,Victoria,GPE,-0.12536232,0.41594203,en,4.60000000,,241131,P,-4.62001000,55.45501000,INDIAN,Seychelles,EIO
United States,United States,GPE,0.01425983,0.52236025,en,4.60000000,,0,,,,,,
Switzerland,Switzerland,GPE,-0.02173913,0.08091787,en,4.60000000,,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Niscemi,Niscemi,GPE,-0.13285024,0.44323671,en,4.60000000,4461093-2,2524006,P,37.14649000,14.39381000,EUROPE-AFRICA,Italy,MED
Ukraine,Ukraine,GPE,-0.12183502,0.34974747,en,4.50000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Antwerp,Antwerp,GPE,0.08484848,0.46698232,en,4.40000000,4002364-3,2803138,P,51.22047000,4.40026000,EUROPE,Belgium,WCE
Japan,Japan,GPE,0.01420455,0.26515152,en,4.40000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Flanders,Flanders,LOC,0.35089286,0.43928571,en,4.00000000,4020176-4,2797656,P,51.05000000,3.71667000,EUROPE,Belgium,WCE
Colombia,Colombia,GPE,0.42784091,0.78238636,en,4.00000000,4031812-6,3686110,A,4.00000000,-73.25000000,SOUTH-AMERICA,Colombia,NWS
Antarctica,Antarctica,LOC,0.15445665,0.55138380,en,3.90000000,,0,,,,,,
Iran,Iran,GPE,0.10406699,0.59250399,en,3.80000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
New York City,New York City,GPE,0.14189189,0.49324324,en,3.70000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Australia,Australia,GPE,0.03643822,0.38087194,en,3.70000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
Philippines,Philippines,GPE,-0.10191441,0.22860360,en,3.70000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Mechelen,Mechelen,GPE,0.12638889,0.68935185,en,3.60000000,4074654-9,2791537,P,51.02574000,4.47762000,EUROPE,Belgium,WCE
Finland,Finland,GPE,0.41666667,0.55555556,en,3.60000000,4017243-0,660013,A,64.00000000,26.00000000,EUROPE,Finland,NEU
Brazil,Brazil,GPE,-0.13452381,0.34285714,en,3.50000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Sweden,Sweden,GPE,0.29411765,0.44117647,en,3.40000000,4077258-5,2661886,A,62.00000000,15.00000000,EUROPE,Sweden,NEU
Russia,Russia,GPE,0.35677083,0.45572917,en,3.20000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Schiphol,Schiphol,GPE,-0.08422939,0.33154122,en,3.10000000,4500213-7,6296680,S,52.31030000,4.76028000,EUROPE,The Netherlands,NEU
Savoie,Savoie,GPE,-0.02150538,0.00000000,en,3.10000000,117150-1,2975517,A,45.46805000,6.48547000,EUROPE,France,WCE
Andalusia,Andalusia,GPE,-0.17063492,0.27905329,en,2.80000000,4054671-8,2510911,P,37.38283000,-5.97317000,EUROPE-AFRICA,Spain,MED
La Plagne,La Plagne,GPE,0.00000000,0.00000000,en,2.80000000,4536802-8,6690630,P,47.18831000,7.28706000,EUROPE,Switzerland,WCE
Germany,Germany,GPE,-0.08630952,0.37202381,en,2.80000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Ghent,Ghent,GPE,-0.14448052,0.47375541,en,2.80000000,4020176-4,2797656,P,51.05000000,3.71667000,EUROPE,Belgium,WCE
The United States,The United States,GPE,0.05486968,0.41529492,en,2.70000000,,0,,,,,,
Scandinavia,Scandinavia,LOC,0.19230769,0.34615385,en,2.60000000,,0,,,,,,
Arctic,Arctic,LOC,0.46527778,0.68055556,en,2.40000000,,0,,,,,,
Groningen,Groningen,GPE,-0.02500000,0.28333333,en,2.00000000,4094052-4,2755251,P,53.21917000,6.56667000,EUROPE,The Netherlands,NEU
Friesland,Friesland,GPE,-0.02500000,0.28333333,en,2.00000000,4074085-7,2751792,P,53.20271000,5.80973000,EUROPE,The Netherlands,NEU
Drenthe,Drenthe,GPE,-0.02500000,0.28333333,en,2.00000000,4262868-4,2759633,P,52.99667000,6.56250000,EUROPE,The Netherlands,NEU
Salzburg,Salzburg,GPE,0.00000000,0.00000000,en,1.90000000,4076982-3,2766824,P,47.79941000,13.04399000,EUROPE,Austria,WCE
Lake Michigan,Lake Michigan,LOC,-0.00000000,0.38815789,en,1.90000000,4281497-2,5001835,H,44.00778000,-86.75698000,NORTH-AMERICA,United States,ENA
Baculin,Baculin,GPE,0.04276316,0.23684211,en,1.90000000,,1728694,P,8.51944000,126.33861000,ASIA,Philippines,SEA
Palestine,Palestine,GPE,-0.06578947,0.06578947,en,1.90000000,4044381-4,6254930,A,31.92157000,35.20329000,EUROPE-AFRICA,Palestinian Territory,MED
Oregon,Oregon,GPE,0.00000000,0.00000000,en,1.90000000,4043760-7,5744337,A,44.00013000,-120.50139000,NORTH-AMERICA,United States,WNA
Texas,Texas,GPE,0.25000000,0.59356725,en,1.90000000,4059594-8,12217092,L,28.92040000,-98.57720000,CENTRAL-AMERICA,United States,NCA
Boston,Boston,GPE,0.10526316,0.31578947,en,1.90000000,4007840-1,4930956,P,42.35843000,-71.05977000,NORTH-AMERICA,United States,ENA
North Island,North Island,LOC,0.15071770,0.50239234,en,1.90000000,,3575292,P,17.32590000,-62.81055000,CENTRAL-AMERICA,St Kitts and Nevis,CAR
Southern Europe,Southern Europe,LOC,-0.05263158,0.13157895,en,1.90000000,,0,,,,,,
Earth,Earth,LOC,0.13157895,0.17543860,en,1.90000000,,0,,,,,,
