,phrase,label,sentiment,subjectivity,language,count
winter,winter,DATE,,,en,16.200000000000003
Friday,Friday,DATE,,,en,15.000000000000002
Wednesday,Wednesday,DATE,,,en,13.200000000000001
Christmas,Christmas,DATE,,,en,12.700000000000005
Saturday,Saturday,DATE,,,en,11.6
Australian,Australian,NORP,,,en,10.800000000000002
first,first,ORDINAL,,,en,9.6
French,French,NORP,,,en,9.300000000000002
two,two,CARDINAL,,,en,7.500000000000001
Three,Three,CARDINAL,,,en,7.000000000000001
Monday,Monday,DATE,,,en,6.7
Tuesday,Tuesday,DATE,,,en,6.6000000000000005
three,three,CARDINAL,,,en,6.3
American,American,NORP,,,en,6.200000000000001
Dutch,Dutch,NORP,,,en,6.200000000000001
morning,morning,TIME,,,en,6.0
Two,Two,CARDINAL,,,en,5.8
Sunday,Sunday,DATE,,,en,5.799999999999999
One,One,CARDINAL,,,en,5.700000000000001
hundreds,hundreds,CARDINAL,,,en,5.2
Thursday,Thursday,DATE,,,en,4.8999999999999995
today,today,DATE,,,en,4.8
evening,evening,TIME,,,en,4.300000000000001
Flemish,Flemish,NORP,,,en,4.3
the coming days,the coming days,DATE,,,en,4.1
Winter,Winter,DATE,,,en,3.9999999999999996
2025,2025,DATE,,,en,3.9999999999999996
years,years,DATE,,,en,3.8
second,second,ORDINAL,,,en,3.6999999999999997
German,German,NORP,,,en,3.6999999999999997
6.2,6.2,CARDINAL,,,en,3.6999999999999997
Indonesian,Indonesian,NORP,,,en,3.6999999999999997
tens of thousands,tens of thousands,CARDINAL,,,en,3.5999999999999996
Sunday afternoon,Sunday afternoon,TIME,,,en,3.5
one,one,CARDINAL,,,en,3.2
the day,the day,DATE,,,en,3.1999999999999997
a week,a week,DATE,,,en,3.0999999999999996
six,six,CARDINAL,,,en,3.0
afternoon,afternoon,TIME,,,en,3.0
thousands,thousands,CARDINAL,,,en,3.0
Belgian,Belgian,NORP,,,en,2.9000000000000004
tonight,tonight,TIME,,,en,2.8999999999999995
Eight,Eight,CARDINAL,,,en,2.8
days,days,DATE,,,en,2.8
Sunday morning,Sunday morning,TIME,,,en,2.8
annual,annual,DATE,,,en,2.8
Five,Five,CARDINAL,,,en,2.8
At least two,At least two,CARDINAL,,,en,2.8
this weekend,this weekend,DATE,,,en,2.8
At least 25,At least 25,CARDINAL,,,en,2.8
At least one,At least one,CARDINAL,,,en,2.8
Russian,Russian,NORP,,,en,2.6000000000000005
recent days,recent days,DATE,,,en,2.6
5,5,CARDINAL,,,en,2.6
