,phrase,label,sentiment,subjectivity,language,count
RMI,RMI,ORG,0.07887783212458538,0.2641114296958453,en,7.699999999999999
Flanders,Flanders,ORG,0.18971861471861476,0.2950396825396826,en,3.499999999999999
Forest,Forest,ORG,-0.05299539170506914,0.09549411162314389,en,3.0999999999999996
KPN,KPN,ORG,-0.02272727272727272,0.38257575757575757,en,2.2
Telesport,Telesport,ORG,0.0,0.3,en,2.0
Achel,Achel,ORG,0.0,0.0,en,1.9
The Roads and Traffic Agency,The Roads and Traffic Agency,ORG,0.0,0.0,en,1.9
cyclo-cross,cyclo-cross,ORG,0.3157894736842105,0.4736842105263158,en,1.9
PSV,PSV,ORG,0.21241830065359477,0.29411764705882354,en,1.7
Trump,Trump,ORG,-0.28125,0.0,en,1.6
Greenland,Greenland,ORG,0.062499999999999986,0.37499999999999994,en,1.6
KMI,KMI,ORG,0.11755952380952381,0.3638392857142857,en,1.6
N-VA,N-VA,ORG,0.20483682983682983,0.375,en,1.3
Mybike,Mybike,ORG,0.32820512820512815,0.7051282051282052,en,1.3
D66,D66,ORG,-0.09615384615384615,0.0,en,1.3
CDA,CDA,ORG,-0.09615384615384615,0.0,en,1.3
VVD,VVD,ORG,-0.09615384615384615,0.0,en,1.3
A23a,A23a,ORG,0.15384615384615385,0.3076923076923077,en,1.3
VAB,VAB,ORG,0.0,0.0,en,1.2
Kremlin,Kremlin,ORG,0.0,0.0,en,1.2
ERP,ERP,ORG,0.5151515151515151,0.303030303030303,en,1.1
BBB,BBB,ORG,0.2479338842975206,0.4132231404958677,en,1.1
MMMC,MMMC,ORG,0.0,0.0,en,1.0
Gent-Sint-Pieters,Gent-Sint-Pieters,ORG,0.012121212121212116,0.0,en,1.0
the USGS Geological Survey,the USGS Geological Survey,ORG,0.0,0.0,en,1.0
the house of Klaas,the house of Klaas,ORG,0.5,0.0,en,1.0
The Finance Inspectorate,The Finance Inspectorate,ORG,-0.12499999999999997,0.0,en,1.0
KRC Genk,KRC Genk,ORG,0.8,0.0,en,1.0
The European Space Agency,The European Space Agency,ORG,0.0,0.0,en,1.0
Excelsior Vorst 1-6,Excelsior Vorst 1-6,ORG,0.0,0.0,en,1.0
Wetter,Wetter,ORG,0.05000000000000001,0.0,en,1.0
Playboy,Playboy,ORG,-0.2,0.0,en,1.0
Igean,Igean,ORG,-0.1,0.0,en,1.0
DPA,DPA,ORG,0.0,0.0,en,1.0
dpa,dpa,ORG,0.0,0.0,en,1.0
Sint-Gillis/Vorst,Sint-Gillis/Vorst,ORG,0.0,0.0,en,1.0
Grand,Grand,ORG,0.25,0.0,en,1.0
Mercosur,Mercosur,ORG,-0.08417508417508418,0.0,en,1.0
the European Space Agency ESA,the European Space Agency ESA,ORG,0.125,0.0,en,1.0
CES,CES,ORG,0.5,0.0,en,1.0
Channel,Channel,ORG,-0.06666666666666667,0.0,en,1.0
Cyclo-Cross Championships,Cyclo-Cross Championships,ORG,0.5,0.0,en,1.0
NATO,NATO,ORG,0.0,0.0,en,1.0
Amersfoort,Amersfoort,ORG,0.0,0.0,en,1.0
GFZ,GFZ,ORG,-0.05,0.0,en,1.0
Tas,Tas,ORG,0.0,0.0,en,1.0
geoscientific,geoscientific,ORG,-0.05,0.0,en,1.0
Feyenoord,Feyenoord,ORG,0.0,0.0,en,1.0
the Football Association,the Football Association,ORG,0.13636363636363635,0.0,en,1.0
the Dutch Railways (NS,the Dutch Railways (NS,ORG,0.0,0.0,en,1.0
Musical Monthly Marketing Column,Musical Monthly Marketing Column,ORG,0.0,0.0,en,1.0
Quinten Post,Quinten Post,ORG,0.3,0.0,en,1.0
The Royal Meteorological Institute of Belgium,The Royal Meteorological Institute of Belgium,ORG,0.0037878787878787845,0.0,en,1.0
Royal Christmas,Royal Christmas,ORG,1.0,0.0,en,1.0
Google,Google,ORG,0.5,0.0,en,1.0
Google Maps,Google Maps,ORG,-0.17708333333333331,0.0,en,1.0
The National Meteorological Service NWS,The National Meteorological Service NWS,ORG,-0.1,0.0,en,1.0
Dries,Dries,ORG,0.0,0.0,en,1.0
the Study Center for Perinatal,the Study Center for Perinatal,ORG,0.075,0.0,en,1.0
Vooruit,Vooruit,ORG,0.175,0.0,en,1.0
the Dutch Agricultural Youth Contact,the Dutch Agricultural Youth Contact,ORG,0.5,0.0,en,1.0
Haagdam,Haagdam,ORG,0.05,0.0,en,1.0
the European Commission,the European Commission,ORG,0.20833333333333334,0.0,en,1.0
the cabinet and coalition party,the cabinet and coalition party,ORG,0.13636363636363635,0.0,en,1.0
Cabinet,Cabinet,ORG,0.0,0.0,en,1.0
Aerocademy,Aerocademy,ORG,-0.1,0.0,en,1.0
WorldTour,WorldTour,ORG,0.0,0.0,en,1.0
RB Leipzig,RB Leipzig,ORG,0.125,0.0,en,1.0
Athletic,Athletic,ORG,-0.5,0.0,en,1.0
Paris Saint-Germain,Paris Saint-Germain,ORG,-0.5,0.0,en,1.0
the Golden State Warriors,the Golden State Warriors,ORG,0.3,0.0,en,1.0
King Philippe's,King Philippe's,ORG,0.5,0.0,en,1.0
De Lier,De Lier,ORG,0.1,0.0,en,1.0
the Japan Meteorological Agency,the Japan Meteorological Agency,ORG,0.0,0.0,en,1.0
Aude,Aude,ORG,-0.1,0.0,en,1.0
the MSK Ghent,the MSK Ghent,ORG,0.0,0.0,en,1.0
Leon,Leon,ORG,0.3,0.0,en,1.0
Everton,Everton,ORG,1.0,0.0,en,1.0
the Competitions Department of Voetbal Vlaanderen,the Competitions Department of Voetbal Vlaanderen,ORG,0.125,0.0,en,1.0
the national seismological service,the national seismological service,ORG,0.0,0.0,en,1.0
the West Flanders Cup,the West Flanders Cup,ORG,0.18409090909090908,0.0,en,1.0
TRANSFERLIVE WEST FLANDERS,TRANSFERLIVE WEST FLANDERS,ORG,0.0,0.0,en,1.0
braves,braves,ORG,0.10500000000000001,0.0,en,1.0
Sun,Sun,ORG,0.0,0.0,en,1.0
