,phrase,label,sentiment,subjectivity,language,count
Stephan Vanfleteren,Stephan Vanfleteren,PERSON,0.0,0.7272727272727272,en,1.1
ill Ousmane Dembélé,ill Ousmane Dembélé,PERSON,-0.5,1.0,en,1.0
Tatjana Hänni,Tatjana Hänni,PERSON,0.125,0.25,en,1.0
Hasselts Aerocademy,Hasselts Aerocademy,PERSON,0.25,0.3333333333333333,en,1.0
Caroline Gennez,Caroline Gennez,PERSON,0.175,0.20625,en,1.0
Dries Lenaerts,Dries Lenaerts,PERSON,0.0,0.5,en,1.0
Grandma Rina,Grandma Rina,PERSON,0.0,0.0,en,1.0
Grandpa Paul,Grandpa Paul,PERSON,0.0,0.0,en,1.0
Eric Adams,Eric Adams,PERSON,0.13636363636363635,0.45454545454545453,en,1.0
Racing Waregem,Racing Waregem,PERSON,0.0,0.0,en,1.0
Arne Hélin,Arne Hélin,PERSON,-0.08787878787878789,0.7181818181818181,en,1.0
Luk De Bruyker,Luk De Bruyker,PERSON,0.012121212121212116,0.22651515151515153,en,1.0
Kyra Eertink,Kyra Eertink,PERSON,0.0,0.0,en,1.0
Storm Goretti,Storm Goretti,PERSON,-0.03333333333333333,0.3666666666666667,en,1.0
